2026-04-04 17:24:56 | INFO | AegisTrade started | symbol=BTC | dry_run=True
2026-04-04 17:24:56 | INFO | step | price=67358.5 | size=100.0 | action=hold | pnl=+0.29%
2026-04-04 17:25:06 | INFO | step | price=67357.5 | size=100.0 | action=hold | pnl=+0.29%
2026-04-04 17:25:16 | INFO | step | price=67355.5 | size=100.0 | action=hold | pnl=+0.29%
2026-04-04 17:25:27 | INFO | step | price=67355.5 | size=100.0 | action=hold | pnl=+0.29%
2026-04-04 17:25:37 | INFO | step | price=67355.5 | size=100.0 | action=hold | pnl=+0.29%
2026-04-04 17:25:47 | INFO | step | price=67374.5 | size=100.0 | action=hold | pnl=+0.32%
2026-04-04 17:25:57 | INFO | step | price=67371.5 | size=100.0 | action=hold | pnl=+0.31%
2026-04-04 17:26:08 | INFO | step | price=67373.5 | size=100.0 | action=hold | pnl=+0.32%
2026-04-04 17:26:18 | INFO | step | price=67374.5 | size=100.0 | action=hold | pnl=+0.32%
2026-04-04 17:26:28 | INFO | step | price=67375.5 | size=100.0 | action=hold | pnl=+0.32%
2026-04-04 17:26:38 | INFO | step | price=67376.5 | size=100.0 | action=hold | pnl=+0.32%
2026-04-04 17:26:49 | INFO | step | price=67376.5 | size=100.0 | action=hold | pnl=+0.32%
2026-04-04 17:26:59 | INFO | step | price=67375.5 | size=100.0 | action=hold | pnl=+0.32%
2026-04-04 17:27:09 | INFO | step | price=67375.5 | size=100.0 | action=hold | pnl=+0.32%
2026-04-04 17:27:19 | INFO | step | price=67375.5 | size=100.0 | action=hold | pnl=+0.32%
2026-04-04 17:27:30 | INFO | step | price=67375.5 | size=100.0 | action=hold | pnl=+0.32%
2026-04-04 17:27:40 | INFO | step | price=67375.5 | size=100.0 | action=hold | pnl=+0.32%
2026-04-04 17:27:50 | INFO | step | price=67375.5 | size=100.0 | action=hold | pnl=+0.32%
2026-04-04 17:28:00 | INFO | step | price=67375.5 | size=100.0 | action=hold | pnl=+0.32%
2026-04-04 17:28:11 | INFO | step | price=67375.5 | size=100.0 | action=hold | pnl=+0.32%
2026-04-04 17:28:21 | INFO | step | price=67375.5 | size=100.0 | action=hold | pnl=+0.32%
2026-04-04 17:28:31 | INFO | step | price=67375.5 | size=100.0 | action=hold | pnl=+0.32%
2026-04-04 17:28:42 | INFO | step | price=67375.5 | size=100.0 | action=hold | pnl=+0.32%
2026-04-04 17:28:52 | INFO | step | price=67375.5 | size=100.0 | action=hold | pnl=+0.32%
2026-04-04 17:29:02 | INFO | step | price=67375.5 | size=100.0 | action=hold | pnl=+0.32%
2026-04-04 17:29:12 | INFO | step | price=67375.5 | size=100.0 | action=hold | pnl=+0.32%
2026-04-04 17:29:23 | INFO | step | price=67375.5 | size=100.0 | action=hold | pnl=+0.32%
2026-04-04 17:29:33 | INFO | step | price=67375.5 | size=100.0 | action=hold | pnl=+0.32%
2026-04-04 17:29:43 | INFO | step | price=67375.5 | size=100.0 | action=hold | pnl=+0.32%
2026-04-04 17:29:53 | INFO | step | price=67361.5 | size=100.0 | action=hold | pnl=+0.30%
2026-04-04 17:30:04 | INFO | step | price=67360.5 | size=100.0 | action=hold | pnl=+0.30%
2026-04-04 17:30:14 | INFO | step | price=67363.5 | size=100.0 | action=hold | pnl=+0.30%
2026-04-04 17:30:24 | INFO | step | price=67363.5 | size=100.0 | action=hold | pnl=+0.30%
2026-04-04 17:30:34 | INFO | step | price=67363.5 | size=100.0 | action=hold | pnl=+0.30%
2026-04-04 17:30:45 | INFO | step | price=67361.5 | size=100.0 | action=hold | pnl=+0.30%
2026-04-04 17:30:55 | INFO | step | price=67357.5 | size=100.0 | action=hold | pnl=+0.29%
2026-04-04 17:31:05 | INFO | step | price=67357.5 | size=100.0 | action=hold | pnl=+0.29%
2026-04-04 17:31:16 | INFO | step | price=67353.5 | size=100.0 | action=hold | pnl=+0.29%
2026-04-04 17:31:26 | INFO | step | price=67353.5 | size=100.0 | action=hold | pnl=+0.29%
2026-04-04 17:31:36 | INFO | step | price=67355.5 | size=100.0 | action=hold | pnl=+0.29%
2026-04-04 17:31:47 | INFO | step | price=67355.5 | size=100.0 | action=hold | pnl=+0.29%
2026-04-04 17:31:57 | INFO | step | price=67355.5 | size=100.0 | action=hold | pnl=+0.29%
2026-04-04 17:32:07 | INFO | step | price=67358.5 | size=100.0 | action=hold | pnl=+0.29%
2026-04-04 17:32:17 | INFO | step | price=67358.5 | size=100.0 | action=hold | pnl=+0.29%
2026-04-04 17:32:27 | INFO | step | price=67358.5 | size=100.0 | action=hold | pnl=+0.29%
2026-04-04 17:32:38 | INFO | step | price=67358.5 | size=100.0 | action=hold | pnl=+0.29%
2026-04-04 17:32:48 | INFO | step | price=67358.5 | size=100.0 | action=hold | pnl=+0.29%
2026-04-04 17:32:58 | INFO | step | price=67358.5 | size=100.0 | action=hold | pnl=+0.29%
2026-04-04 17:33:08 | INFO | step | price=67358.5 | size=100.0 | action=hold | pnl=+0.29%
2026-04-04 17:33:19 | INFO | step | price=67358.5 | size=100.0 | action=hold | pnl=+0.29%
2026-04-04 17:33:29 | INFO | step | price=67358.5 | size=100.0 | action=hold | pnl=+0.29%
2026-04-04 17:33:39 | INFO | step | price=67358.5 | size=100.0 | action=hold | pnl=+0.29%
2026-04-04 17:33:49 | INFO | step | price=67358.5 | size=100.0 | action=hold | pnl=+0.29%
2026-04-04 17:34:00 | INFO | step | price=67358.5 | size=100.0 | action=hold | pnl=+0.29%
2026-04-04 17:34:10 | INFO | step | price=67356.5 | size=100.0 | action=hold | pnl=+0.29%
2026-04-04 17:34:20 | INFO | step | price=67356.5 | size=100.0 | action=hold | pnl=+0.29%
2026-04-04 17:34:30 | INFO | step | price=67355.5 | size=100.0 | action=hold | pnl=+0.29%
2026-04-04 17:34:40 | INFO | step | price=67355.5 | size=100.0 | action=hold | pnl=+0.29%
2026-04-04 17:34:51 | INFO | step | price=67352.5 | size=100.0 | action=hold | pnl=+0.29%
2026-04-04 17:35:01 | INFO | step | price=67352.5 | size=100.0 | action=hold | pnl=+0.29%
2026-04-04 17:35:11 | INFO | step | price=67352.5 | size=100.0 | action=hold | pnl=+0.29%
2026-04-04 17:35:21 | INFO | step | price=67327.5 | size=100.0 | action=hold | pnl=+0.25%
2026-04-04 17:35:32 | INFO | step | price=67327.5 | size=100.0 | action=hold | pnl=+0.25%
2026-04-04 17:35:42 | INFO | step | price=67328.5 | size=100.0 | action=hold | pnl=+0.25%
2026-04-04 17:35:52 | INFO | step | price=67328.5 | size=100.0 | action=hold | pnl=+0.25%
2026-04-04 17:36:02 | INFO | step | price=67328.5 | size=100.0 | action=hold | pnl=+0.25%
2026-04-04 17:36:13 | INFO | step | price=67324.5 | size=100.0 | action=hold | pnl=+0.24%
2026-04-04 17:36:23 | INFO | step | price=67312.5 | size=100.0 | action=hold | pnl=+0.23%
2026-04-04 17:36:33 | INFO | step | price=67312.5 | size=100.0 | action=hold | pnl=+0.23%
2026-04-04 17:36:43 | INFO | step | price=67309.5 | size=100.0 | action=hold | pnl=+0.22%
2026-04-04 17:36:54 | INFO | step | price=67309.5 | size=100.0 | action=hold | pnl=+0.22%
2026-04-04 17:37:04 | INFO | step | price=67309.5 | size=100.0 | action=hold | pnl=+0.22%
2026-04-04 17:37:14 | INFO | step | price=67309.5 | size=100.0 | action=hold | pnl=+0.22%
2026-04-04 17:37:24 | INFO | step | price=67309.5 | size=100.0 | action=hold | pnl=+0.22%
2026-04-04 17:37:34 | INFO | step | price=67324.5 | size=100.0 | action=hold | pnl=+0.24%
2026-04-04 17:37:45 | INFO | step | price=67324.5 | size=100.0 | action=hold | pnl=+0.24%
2026-04-04 17:37:55 | INFO | step | price=67324.5 | size=100.0 | action=hold | pnl=+0.24%
2026-04-04 17:38:05 | INFO | step | price=67324.5 | size=100.0 | action=hold | pnl=+0.24%
2026-04-04 17:38:15 | INFO | step | price=67324.5 | size=100.0 | action=hold | pnl=+0.24%
2026-04-04 17:38:26 | INFO | step | price=67315.5 | size=100.0 | action=hold | pnl=+0.23%
2026-04-04 17:38:36 | INFO | step | price=67308.5 | size=100.0 | action=hold | pnl=+0.22%
2026-04-04 17:38:46 | INFO | step | price=67306.5 | size=100.0 | action=hold | pnl=+0.22%
2026-04-04 17:38:56 | INFO | step | price=67306.5 | size=100.0 | action=hold | pnl=+0.22%
2026-04-04 17:39:07 | INFO | step | price=67306.5 | size=100.0 | action=hold | pnl=+0.22%
2026-04-04 17:39:17 | INFO | step | price=67300.5 | size=100.0 | action=hold | pnl=+0.21%
2026-04-04 17:39:27 | INFO | step | price=67300.5 | size=100.0 | action=hold | pnl=+0.21%
2026-04-04 17:39:37 | INFO | step | price=67300.5 | size=100.0 | action=hold | pnl=+0.21%
2026-04-04 17:39:48 | INFO | step | price=67300.5 | size=100.0 | action=hold | pnl=+0.21%
2026-04-04 17:39:58 | INFO | step | price=67300.5 | size=100.0 | action=hold | pnl=+0.21%
2026-04-04 17:40:08 | INFO | step | price=67300.5 | size=100.0 | action=hold | pnl=+0.21%
2026-04-04 17:40:18 | INFO | step | price=67300.5 | size=100.0 | action=hold | pnl=+0.21%
2026-04-04 17:40:28 | INFO | step | price=67300.5 | size=100.0 | action=hold | pnl=+0.21%
2026-04-04 17:40:39 | INFO | step | price=67300.5 | size=100.0 | action=hold | pnl=+0.21%
2026-04-04 17:40:49 | INFO | step | price=67300.5 | size=100.0 | action=hold | pnl=+0.21%
2026-04-04 17:40:59 | INFO | step | price=67300.5 | size=100.0 | action=hold | pnl=+0.21%
2026-04-04 17:41:10 | INFO | step | price=67308.5 | size=100.0 | action=hold | pnl=+0.22%
2026-04-04 17:41:20 | INFO | step | price=67315.5 | size=100.0 | action=hold | pnl=+0.23%
2026-04-04 17:41:30 | INFO | step | price=67315.5 | size=100.0 | action=hold | pnl=+0.23%
2026-04-04 17:41:40 | INFO | step | price=67315.5 | size=100.0 | action=hold | pnl=+0.23%
